Continent_id,Continent,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",scrap_date,scrap_time
6,Oceania,"28,765",109,692,6,"23,779",195,"4,294",35,02.09.20,23:01
7,World,"26,088,026","195,975","864,483","4,159","18,337,843","151,368","6,885,700","60,643",02.09.20,23:01
1,North America,"7,488,800","34,135","275,938","1,282","4,360,406","16,775","2,852,456","19,315",03.09.20,23:01
2,South America,"6,478,681","9,448","207,066",404,"5,112,307","10,824","1,159,308","15,257",03.09.20,23:01
3,Asia,"7,407,501","110,004","147,322","1,670","5,943,174","87,437","1,317,005","18,909",03.09.20,23:01
4,Europe,"3,682,119","35,520","208,946",372,"2,111,259","12,043","1,361,914","5,930",03.09.20,23:01
5,Africa,"1,280,202","6,942","30,621",250,"1,015,420","4,309","234,161","1,282",03.09.20,23:01
6,Oceania,"28,953",128,707,15,"24,148",238,"4,098",38,03.09.20,23:01
7,World,"26,366,977","196,177","870,615","3,993","18,567,365","131,626","6,928,997","60,735",03.09.20,23:01
1,North America,"7,516,422","6,668","277,006",546,"4,386,808","5,789","2,852,608","19,116",04.09.20,7:01
2,South America,"6,547,061",853,"208,468",85,"5,171,622","1,810","1,166,971","15,305",04.09.20,7:01
3,Asia,"7,410,094",814,"147,343",9,"5,947,859","1,227","1,314,892","18,920",04.09.20,7:01
4,Europe,"3,683,594",633,"208,958",1,"2,113,017",23,"1,361,619","5,922",04.09.20,7:01
5,Africa,"1,281,149",,"30,667",,"1,017,753",,"232,729","1,445",04.09.20,7:01
6,Oceania,"29,050",94,766,59,"24,158",10,"4,126",38,04.09.20,7:01
7,World,"26,468,091","9,062","873,223",700,"18,661,868","8,859","6,933,000","60,750",04.09.20,7:01
1,North America,"7,615,074","39,961","279,167","1,030","4,507,289","16,107","2,828,618","19,259",05.09.20,23:31
3,Asia,"7,639,420","115,200","150,487","1,564","6,131,826","93,251","1,357,107","18,971",05.09.20,23:31
2,South America,"6,628,705","5,469","210,440",299,"5,244,755","12,621","1,173,510","15,355",05.09.20,23:31
4,Europe,"3,771,384","28,828","209,771",305,"2,152,448","28,905","1,409,165","5,890",05.09.20,23:31
5,Africa,"1,296,394","6,577","31,103",198,"1,032,437","6,565","232,854","1,417",05.09.20,23:31
6,Oceania,"29,213",85,779,12,"24,600",163,"3,834",34,05.09.20,23:31
7,World,"26,980,911","196,120","881,762","3,408","19,094,006","157,612","7,005,143","60,930",05.09.20,23:31
1,North America,"7,639,265","10,961","280,055",580,"4,534,410","5,359","2,824,800","18,998",06.09.20,18:30
3,Asia,"7,706,791","65,934","151,382",875,"6,217,893","84,695","1,337,516","19,013",06.09.20,18:30
2,South America,"6,686,503",661,"211,615",124,"5,292,368","10,473","1,182,520","14,753",06.09.20,18:30
4,Europe,"3,789,600","17,717","209,958",180,"2,159,874","7,067","1,419,768","5,933",06.09.20,18:30
5,Africa,"1,298,366","1,043","31,151",20,"1,034,019",285,"233,196","1,419",06.09.20,18:30
6,Oceania,"29,289",76,784,5,"24,733",133,"3,772",35,06.09.20,18:30
7,World,"27,150,535","96,392","884,960","1,784","19,263,948","108,012","7,001,627","60,155",06.09.20,18:30
1,North America,"7,685,783","19,331","280,834",393,"4,569,667","14,597","2,835,282","18,647",07.09.20,22:00
3,Asia,"7,850,572","93,266","153,667","1,548","6,343,622","91,268","1,353,283","19,152",07.09.20,22:00
2,South America,"6,722,318","4,284","218,235",255,"5,334,292","11,529","1,169,791","14,857",07.09.20,22:00
4,Europe,"3,830,090","25,118","210,275",258,"2,166,499","6,437","1,453,316","6,071",07.09.20,22:00
5,Africa,"1,309,987","4,735","31,435",78,"1,042,636","2,182","235,916","1,434",07.09.20,22:00
