,scrap_date,scrap_time,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
112,2020-08-18,20:00,116,Thailand,69823143.0,3381,3.0,58.0,,3198.0,4.0,125.0,1.0,48.0,0.8,749213.0,10730.0,3.0
113,2020-08-18,20:00,113,Cuba,11325692.0,3364,,88.0,,2692.0,,584.0,2.0,297.0,8.0,327689.0,28933.0,1.0
114,2020-08-18,20:00,119,Somalia,15946390.0,3257,,93.0,,2374.0,,790.0,2.0,204.0,6.0,,,5.0
115,2020-08-18,20:00,115,Cabo Verde,556762.0,3203,,36.0,,2336.0,,831.0,,5753.0,65.0,61633.0,110699.0,5.0
116,2020-08-18,20:00,120,Mayotte,273617.0,3160,,39.0,,2964.0,,157.0,1.0,11549.0,143.0,13000.0,47512.0,5.0
117,2020-08-18,20:00,114,Suriname,587311.0,3077,,48.0,,2138.0,,891.0,13.0,5239.0,82.0,4835.0,8232.0,2.0
118,2020-08-18,20:00,117,Slovakia,5459994.0,2922,15.0,31.0,,1980.0,11.0,911.0,6.0,535.0,6.0,296902.0,54378.0,4.0
119,2020-08-18,20:00,118,Mozambique,31360382.0,2914,,19.0,,1196.0,,1699.0,,93.0,0.6,78877.0,2515.0,5.0
120,2020-08-18,20:00,121,Sri Lanka,21425054.0,2900,,11.0,,2755.0,79.0,134.0,1.0,135.0,0.5,166737.0,7782.0,3.0
121,2020-08-18,20:00,124,Mali,20320503.0,2640,,125.0,,1987.0,,528.0,,130.0,6.0,32039.0,1577.0,5.0
122,2020-08-18,20:00,122,Rwanda,12991225.0,2540,,8.0,,1661.0,,871.0,,196.0,0.6,338288.0,26040.0,5.0
123,2020-08-18,20:00,127,South Sudan,11210515.0,2490,,47.0,,1175.0,,1268.0,,222.0,4.0,12044.0,1074.0,5.0
124,2020-08-18,20:00,125,Lithuania,2716988.0,2474,38.0,81.0,,1733.0,28.0,660.0,6.0,911.0,30.0,584641.0,215180.0,4.0
125,2020-08-18,20:00,126,Slovenia,2078976.0,2456,27.0,129.0,,2052.0,,275.0,3.0,1181.0,62.0,144831.0,69665.0,4.0
126,2020-08-18,20:00,123,Tunisia,11834515.0,2314,129.0,57.0,1.0,1370.0,8.0,887.0,8.0,196.0,5.0,115376.0,9749.0,5.0
127,2020-08-18,20:00,129,Estonia,1326654.0,2200,8.0,63.0,,1990.0,14.0,147.0,,1658.0,47.0,136137.0,102617.0,4.0
128,2020-08-18,20:00,131,Guinea-Bissau,1973679.0,2117,,33.0,,1015.0,,1069.0,5.0,1073.0,17.0,1500.0,760.0,5.0
129,2020-08-18,20:00,128,Gambia,2424802.0,2116,244.0,63.0,,415.0,14.0,1638.0,,873.0,26.0,6312.0,2603.0,5.0
130,2020-08-18,20:00,134,Benin,12161552.0,2063,,39.0,,1690.0,,334.0,,170.0,3.0,107057.0,8803.0,5.0
