Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id,scrap_date,scrap_time
18,Turkey,"84,522,503","292,878","+1,716","7,119",+63,"260,058","+1,225","25,701","1,301","3,465",84,"8,632,123","102,128",3.0,14.09.20,22:04
17,Italy,"60,443,373","288,761","+1,008","35,624",+14,"213,950",+316,"39,187",197,"4,777",589,"9,863,427","163,185",4.0,14.09.20,22:04
22,Philippines,"109,874,163","265,888","+4,699","4,630",+259,"207,504",+249,"53,754","1,048","2,420",42,"3,116,131","28,361",3.0,14.09.20,22:04
20,Germany,"83,839,002","262,688","+1,390","9,431",+3,"235,700",,"17,557",237,"3,133",112,"13,436,301","160,263",4.0,14.09.20,22:04
23,Indonesia,"274,108,479","221,523","+3,141","8,841",+118,"158,405","+3,395","54,277",,808,32,"2,672,710","9,751",3.0,14.09.20,22:04
30,Israel,"9,197,590","159,290","+3,686","1,136",+17,"118,547","+3,549","39,607",524,"17,319",124,"2,771,732","301,354",3.0,14.09.20,22:04
28,Ukraine,"43,678,722","156,797","+2,462","3,211",+33,"69,543",+650,"84,043",177,"3,590",74,"1,856,467","42,503",4.0,14.09.20,22:04
24,Canada,"37,809,342","136,972",+313,"9,172",+1,"120,564",+133,"7,236",53,"3,623",243,"6,154,468","162,776",1.0,14.09.20,22:04
26,Bolivia,"11,704,994","126,791",+809,"7,344",+47,"84,286","+1,490","35,161",71,"10,832",627,"273,983","23,407",2.0,14.09.20,22:04
25,Qatar,"2,807,805","121,975",+235,207,+2,"118,931",+249,"2,837",55,"43,441",74,"695,427","247,676",3.0,14.09.20,22:04
27,Ecuador,"17,696,656","118,911",+317,"10,922",+19,"97,063",,"10,926",381,"6,719",617,"354,883","20,054",2.0,14.09.20,22:04
29,Kazakhstan,"18,821,980","106,855",+52,"1,634",,"100,627",+12,"4,594",221,"5,677",87,"2,571,562","136,625",3.0,14.09.20,22:04
38,Romania,"19,210,772","104,187",+692,"4,185",+22,"43,244",+219,"56,758",456,"5,423",218,"2,088,975","108,740",4.0,14.09.20,22:04
32,Dominican Republic,"10,869,934","104,110",+450,"1,984",+16,"77,790",+608,"24,336",210,"9,578",183,"422,070","38,829",1.0,14.09.20,22:04
34,Panama,"4,328,339","101,745",,"2,166",,"74,107",,"25,472",158,"23,507",500,"399,197","92,229",1.0,14.09.20,22:04
31,Egypt,"102,717,223","101,009",,"5,648",,"84,161",,"11,200",41,983,55,"135,000","1,314",5.0,14.09.20,22:04
37,Kuwait,"4,283,219","95,472",+708,563,+3,"85,501",+506,"9,408",86,"22,290",131,"679,670","158,682",3.0,14.09.20,22:04
36,Belgium,"11,599,964","93,455",+977,"9,925",+2,"18,723",+14,"64,807",71,"8,056",856,"2,630,292","226,750",4.0,14.09.20,22:04
35,Oman,"5,131,974","90,222",+476,790,+10,"83,928",+157,"5,504",171,"17,580",154,"309,212","60,252",3.0,14.09.20,22:04
49,Morocco,"36,998,770","88,203","+1,517","1,614",+36,"68,970","+1,442","17,619",275,"2,384",44,"2,251,763","60,860",5.0,14.09.20,22:04
33,Sweden,"10,112,123","86,505",,"5,846",,,,,13,"8,555",578,"1,250,488","123,662",4.0,14.09.20,22:04
42,Netherlands,"17,142,680","83,399","+1,300","6,256",+2,,,,59,"4,865",365,"1,832,451","106,894",4.0,14.09.20,22:04
40,Guatemala,"17,981,356","81,909",,"2,957",,"70,927",,"8,025",5,"4,555",164,"276,803","15,394",1.0,14.09.20,22:04
41,UAE,"9,914,483","80,266",+777,399,,"69,981",+530,"9,886",,"8,096",40,"8,191,501","826,216",3.0,14.09.20,22:04
44,Japan,"126,395,837","75,218",,"1,439",,"66,899",,"6,880",180,595,11,"1,715,960","13,576",3.0,14.09.20,22:04
43,Poland,"37,838,014","74,529",+377,"2,203",+15,"61,097",+438,"11,229",87,"1,970",58,"2,998,021","79,233",4.0,14.09.20,22:04
39,Belarus,"9,448,679","74,360",+187,756,+6,"72,609",+25,995,,"7,870",80,"1,661,933","175,891",4.0,14.09.20,22:04
47,Honduras,"9,936,072","67,789",+653,"2,079",+14,"17,873",+103,"47,837",26,"6,823",209,"161,483","16,252",1.0,14.09.20,22:04
46,Portugal,"10,190,520","64,596",+613,"1,871",+4,"44,185",+116,"18,540",61,"6,339",184,"2,267,663","222,527",4.0,14.09.20,22:04
56,Ethiopia,"115,520,288","64,301",,"1,013",,"24,983",,"38,305",342,557,9,"1,138,012","9,851",5.0,14.09.20,22:04
57,Venezuela,"28,419,170","60,540",,485,,"48,644",,"11,411",148,"2,130",17,"1,824,287","64,192",2.0,14.09.20,22:04
50,Bahrain,"1,712,845","60,307",,212,,"53,681",,"6,414",29,"35,209",124,"1,252,898","731,472",3.0,14.09.20,22:04
45,Singapore,"5,859,703","57,454",+48,27,,"56,802",+38,625,,"9,805",5,"2,281,104","389,287",3.0,14.09.20,22:04
48,Nigeria,"207,138,366","56,256",,"1,082",,"44,152",,"11,022",7,272,5,"440,248","2,125",5.0,14.09.20,22:04
61,Costa Rica,"5,103,555","55,454",,590,,"20,928",,"33,936",225,"10,866",116,"181,763","35,615",1.0,14.09.20,22:04
64,Nepal,"29,240,966","55,329","+1,170",360,+15,"39,576",+879,"15,393",,"1,892",12,"851,405","29,117",3.0,14.09.20,22:04
54,Algeria,"44,008,399","48,496",+242,"1,620",+8,"34,204",+167,"12,672",27,"1,102",37,,,5.0,14.09.20,22:04
58,Uzbekistan,"33,566,409","47,836",+549,396,+6,"44,375",+509,"3,065",246,"1,425",12,"1,377,915","41,050",3.0,14.09.20,22:04
55,Switzerland,"8,667,514","47,436",+257,"2,025",+4,"39,600",+700,"5,811",26,"5,473",234,"1,193,180","137,661",4.0,14.09.20,22:04
53,Armenia,"2,964,385","45,969",+107,919,+3,"41,693",+34,"3,357",,"15,507",310,"240,943","81,279",3.0,14.09.20,22:04
51,Ghana,"31,200,962","45,434",,286,,"44,342",,806,5,"1,456",9,"450,872","14,451",5.0,14.09.20,22:04
52,Kyrgyzstan,"6,545,664","44,928",+47,"1,063",,"41,023",+101,"2,842",24,"6,864",162,"267,718","40,900",3.0,14.09.20,22:04
62,Moldova,"4,032,014","43,207",+229,"1,129",+6,"30,437",,"11,641",549,"10,716",280,"210,553","52,220",4.0,14.09.20,22:04
59,Afghanistan,"39,100,693","38,772",+56,"1,425",+5,"32,073",+435,"5,274",93,992,36,"107,167","2,741",3.0,14.09.20,22:04
60,Azerbaijan,"10,157,722","38,403",+76,564,+2,"35,860",+104,"1,979",,"3,781",56,"1,013,108","99,738",3.0,14.09.20,22:04
70,Czechia,"10,713,076","36,722",+534,465,+9,"22,020",+726,"14,237",69,"3,428",43,"1,070,382","99,914",4.0,14.09.20,22:04
63,Kenya,"54,004,419","36,157",,622,,"23,067",,"12,468",44,670,12,"481,982","8,925",5.0,14.09.20,22:04
67,Austria,"9,016,902","33,541",+382,757,+1,"27,010",+250,"5,774",47,"3,720",84,"1,351,408","149,875",4.0,14.09.20,22:04
65,Serbia,"8,730,028","32,437",+29,733,,"31,285",+185,419,28,"3,716",84,"1,033,988","118,440",4.0,14.09.20,22:04
71,Palestine,"5,124,685","31,362",+788,226,+5,"21,406","+1,324","9,730",,"6,120",44,"339,499","66,248",3.0,14.09.20,22:04
66,Ireland,"4,948,924","31,192",+207,"1,784",,"23,364",,"6,044",11,"6,303",360,"981,286","198,283",4.0,14.09.20,22:04
80,Paraguay,"7,150,186","27,817",,525,,"14,288",,"13,004",136,"3,890",73,"229,992","32,166",2.0,14.09.20,22:04
69,El Salvador,"6,492,905","27,009",+81,788,+3,"18,924",+527,"7,297",220,"4,160",121,"349,898","53,889",1.0,14.09.20,22:04
68,Australia,"25,559,572","26,692",+41,816,+6,"23,578",+116,"2,298",18,"1,044",32,"7,037,277","275,328",,14.09.20,22:04
83,Lebanon,"6,819,062","24,857",+547,246,+5,"8,765",+431,"15,846",109,"3,645",36,"654,005","95,908",3.0,14.09.20,22:04
73,Bosnia and Herzegovina,"3,276,542","23,635",+170,705,+9,"16,166",+128,"6,764",,"7,213",215,"202,243","61,725",4.0,14.09.20,22:04
85,Libya,"6,890,056","23,515",+734,368,+6,"12,762",+579,"10,385",,"3,413",53,"157,481","22,856",5.0,14.09.20,22:04
74,S. Korea,"51,278,298","22,285",+109,363,+5,"18,489",+263,"3,433",157,435,7,"2,151,002","41,948",3.0,14.09.20,22:04
76,Denmark,"5,796,391","20,237",+347,633,+2,"16,437",+104,"3,167",4,"3,491",109,"3,034,147","523,455",4.0,14.09.20,22:04
72,Cameroon,"26,675,003","20,167",,415,,"18,837",,915,30,756,16,"149,000","5,586",5.0,14.09.20,22:04
75,Ivory Coast,"26,505,973","19,013",,120,,"18,112",,781,,717,5,"142,248","5,367",5.0,14.09.20,22:04
77,Bulgaria,"6,937,455","17,918",,720,,"12,767",,"4,431",53,"2,583",104,"464,657","66,978",4.0,14.09.20,22:04
79,North Macedonia,"2,083,356","15,827",+36,652,+4,"13,315",+131,"1,860",4,"7,597",313,"166,356","79,850",4.0,14.09.20,22:04
78,Madagascar,"27,829,860","15,769",+12,213,+2,"14,411",+43,"1,145",30,567,8,"64,676","2,324",5.0,14.09.20,22:04
81,Senegal,"16,829,846","14,306",+26,297,,"10,563",+43,"3,446",32,850,18,"159,603","9,483",5.0,14.09.20,22:04
84,Zambia,"18,483,790","13,720",+181,320,+8,"12,380",+120,"1,020",,742,17,"132,642","7,176",5.0,14.09.20,22:04
97,Croatia,"4,099,962","13,598",+65,227,+3,"11,151",+252,"2,220",22,"3,317",55,"225,014","54,882",4.0,14.09.20,22:04
82,Sudan,"44,050,115","13,516",,835,,"6,757",,"5,924",,307,19,,,5.0,14.09.20,22:04
92,Greece,"10,412,413","13,420",+180,310,+5,"3,804",,"9,306",59,"1,289",30,"1,133,027","108,815",4.0,14.09.20,22:04
105,Hungary,"9,655,249","13,153",+844,642,+5,"4,117",+48,"8,394",16,"1,362",66,"549,211","56,882",4.0,14.09.20,22:04
86,Norway,"5,429,866","12,219",+65,265,,"10,371",,"1,583",1,"2,250",49,"889,122","163,747",4.0,14.09.20,22:04
94,Albania,"2,877,145","11,520",+167,338,+4,"6,615",+46,"4,567",18,"4,004",117,"70,367","24,457",4.0,14.09.20,22:04
87,DRC,"90,086,157","10,390",,264,,"9,756",,370,,115,3,,,5.0,14.09.20,22:04
89,Guinea,"13,202,024","10,045",,63,,"9,292",,690,24,761,5,"28,140","2,131",5.0,14.09.20,22:04
88,Malaysia,"32,449,426","9,946",+31,128,,"9,203",+7,615,11,307,4,"1,372,154","42,286",3.0,14.09.20,22:04
102,Namibia,"2,550,048","9,818",+99,103,+2,"6,693",+150,"3,022",20,"3,850",40,"80,352","31,510",5.0,14.09.20,22:04
90,French Guiana,"300,191","9,552",+31,63,,"9,156",+24,333,8,"31,820",210,"59,951","199,710",2.0,14.09.20,22:04
100,Maldives,"542,438","9,173",,32,,"7,326",,"1,815",12,"16,911",59,"130,356","240,315",3.0,14.09.20,22:04
93,Tajikistan,"9,579,764","9,088",+39,72,,"7,853",+37,"1,163",,949,8,,,3.0,14.09.20,22:04
91,Gabon,"2,236,031","8,643",,53,,"7,706",,884,2,"3,865",24,"135,615","60,650",5.0,14.09.20,22:04
96,Finland,"5,542,495","8,627",+47,337,,"7,500",,790,1,"1,557",61,"812,249","146,549",4.0,14.09.20,22:04
95,Haiti,"11,430,533","8,499",+6,219,,"6,120",,"2,160",,744,19,"25,752","2,253",1.0,14.09.20,22:04
101,Zimbabwe,"14,906,276","7,526",,224,,"5,678",,"1,624",,505,15,"154,733","10,380",5.0,14.09.20,22:04
99,Mauritania,"4,673,460","7,276",,161,,"6,825",,290,3,"1,557",34,"76,256","16,317",5.0,14.09.20,22:04
98,Luxembourg,"628,010","7,238",,124,,"6,397",,717,1,"11,525",197,"738,549","1,176,015",4.0,14.09.20,22:04
109,Montenegro,"628,082","6,712",,120,,"4,507",,"2,085",,"10,687",191,"56,826","90,475",4.0,14.09.20,22:04
123,Tunisia,"11,843,632","6,635",,107,,"1,991",,"4,537",26,560,9,"171,786","14,505",5.0,14.09.20,22:04
103,Malawi,"19,226,331","5,690",,177,,"3,731",,"1,782",4,296,9,"48,556","2,525",5.0,14.09.20,22:04
117,Slovakia,"5,460,189","5,580",+48,38,,"3,129",+5,"2,413",22,"1,022",7,"385,928","70,680",4.0,14.09.20,22:04
118,Mozambique,"31,425,231","5,482",+213,35,,"3,024",+64,"2,423",,174,1,"115,588","3,678",5.0,14.09.20,22:04
104,Djibouti,"990,879","5,396",+1,61,,"5,331",+1,4,,"5,446",62,"72,143","72,807",5.0,14.09.20,22:04
111,Eswatini,"1,162,594","5,075",,98,,"4,229",,748,11,"4,365",84,"31,061","26,717",5.0,14.09.20,22:04
106,Equatorial Guinea,"1,411,812","4,996",,83,,"4,490",,423,,"3,539",59,"55,783","39,512",5.0,14.09.20,22:04
130,Uganda,"46,018,556","4,978",+179,56,+1,"2,317",+61,"2,605",,108,1,"434,243","9,436",5.0,14.09.20,22:04
107,Hong Kong,"7,509,348","4,972",+14,101,+1,"4,635",+5,236,21,662,13,"2,783,134","370,623",3.0,14.09.20,22:04
112,Congo,"5,544,650","4,928",,88,,"3,887",,953,,889,16,,,5.0,14.09.20,22:04
110,Nicaragua,"6,640,444","4,818",,144,,"2,913",,"1,761",,726,22,,,1.0,14.09.20,22:04
115,Cabo Verde,"557,207","4,813",,44,,"4,119",,650,,"8,638",79,"76,576","137,428",5.0,14.09.20,22:04
108,CAR,"4,846,481","4,749",,62,,"1,825",,"2,862",2,980,13,"31,459","6,491",5.0,14.09.20,22:04
113,Cuba,"11,325,184","4,684",,108,,"3,930",,646,18,414,10,"485,147","42,838",1.0,14.09.20,22:04
122,Rwanda,"13,014,982","4,591",,22,,"2,556",,"2,013",,353,2,"462,896","35,566",5.0,14.09.20,22:04
114,Suriname,"587,699","4,582",,93,,"3,850",,639,7,"7,797",158,"11,762","20,014",2.0,14.09.20,22:04
145,Jamaica,"2,963,817","3,771",,42,,"1,149",,"2,580",5,"1,272",14,"67,347","22,723",1.0,14.09.20,22:04
126,Slovenia,"2,078,997","3,749",+47,135,,"2,730",,884,9,"1,803",65,"184,341","88,668",4.0,14.09.20,22:04
132,Syria,"17,583,867","3,540",,155,,842,,"2,543",,201,9,,,3.0,14.09.20,22:04
141,Jordan,"10,223,646","3,528",+214,26,+2,"2,255",+49,"1,247",13,345,3,"989,579","96,793",3.0,14.09.20,22:04
116,Thailand,"69,836,028","3,475",+2,58,,"3,312",,105,1,50,0.8,"749,213","10,728",3.0,14.09.20,22:04
128,Gambia,"2,429,830","3,405",,103,,"1,723",,"1,579",,"1,401",42,"14,410","5,930",5.0,14.09.20,22:04
119,Somalia,"15,979,226","3,389",,98,,"2,803",,488,,212,6,,,5.0,14.09.20,22:04
133,Angola,"33,062,946","3,388",,134,,"1,301",,"1,953",24,102,4,"64,747","1,958",5.0,14.09.20,22:04
125,Lithuania,"2,714,207","3,386",+51,87,,"2,071",+1,"1,228",,"1,248",32,"695,521","256,252",4.0,14.09.20,22:04
