Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Continent_id,scrap_date,scrap_time
45,Singapore,"5,858,196","56,901",+49,27,,"55,891",+142,983,,"9,713",5,"2,068,284","353,058",3.0,02.09.20,23:01
56,Ethiopia,"115,426,640","54,409","+1,105",846,+18,"19,903",+416,"33,660",344,471,7,"949,813","8,229",5.0,02.09.20,23:01
48,Nigeria,"206,970,345","54,247",,"1,023",,"42,010",,"11,214",7,262,5,"405,916","1,961",5.0,02.09.20,23:01
50,Bahrain,"1,710,894","52,440",,190,,"49,395",,"2,855",37,"30,651",111,"1,118,837","653,949",3.0,02.09.20,23:01
57,Venezuela,"28,421,801","47,756",,391,,"39,027",,"8,338",99,"1,680",14,"1,775,594","62,473",2.0,02.09.20,23:01
54,Algeria,"43,982,403","44,833",,"1,518",,"31,493",,"11,822",29,"1,019",35,,,5.0,02.09.20,23:01
51,Ghana,"31,179,653","44,460",,276,,"43,121",,"1,063",6,"1,426",9,"444,081","14,243",5.0,02.09.20,23:01
53,Armenia,"2,964,203","44,075",+197,884,+3,"38,631",+275,"4,560",,"14,869",298,"209,389","70,639",3.0,02.09.20,23:01
52,Kyrgyzstan,"6,542,132","44,036",+78,"1,059",,"38,895",+246,"4,082",24,"6,731",162,"267,718","40,922",3.0,02.09.20,23:01
55,Switzerland,"8,665,442","42,763",+370,"2,011",,"36,300",,"4,452",13,"4,935",232,"1,039,741","119,987",4.0,02.09.20,23:01
58,Uzbekistan,"33,550,499","42,437",+310,327,+4,"39,664",+126,"2,446",147,"1,265",10,"1,377,915","41,070",3.0,02.09.20,23:01
61,Costa Rica,"5,102,031","42,184",,443,,"16,270",,"25,471",149,"8,268",87,"150,106","29,421",1.0,02.09.20,23:01
64,Nepal,"29,223,762","41,649","+1,120",251,+12,"23,290","+1,112","18,108",,"1,425",9,"718,439","24,584",3.0,02.09.20,23:01
59,Afghanistan,"39,071,878","38,243",+47,"1,409",+3,"29,315",+84,"7,519",48,979,36,"103,199","2,641",3.0,02.09.20,23:01
62,Moldova,"4,032,320","37,740",+532,"1,024",+16,"26,189",+317,"10,527",575,"9,359",254,"207,925","51,565",4.0,02.09.20,23:01
60,Azerbaijan,"10,154,729","36,732",+154,538,+2,"34,116",+139,"2,078",,"3,617",53,"935,396","92,114",3.0,02.09.20,23:01
63,Kenya,"53,965,495","34,493",+178,581,+4,"20,211",,"13,701",44,639,11,"456,088","8,451",5.0,02.09.20,23:01
65,Serbia,"8,731,176","31,581",+99,716,+1,"30,188",+135,677,39,"3,617",82,"947,298","108,496",4.0,02.09.20,23:01
66,Ireland,"4,947,117","29,114",+89,"1,777",,"23,364",,"3,973",6,"5,885",359,"852,007","172,223",4.0,02.09.20,23:01
67,Austria,"9,015,221","27,969",+327,734,,"23,820",+255,"3,415",30,"3,102",81,"1,210,568","134,280",4.0,02.09.20,23:01
68,Australia,"25,549,875","25,923",+104,663,+6,"21,690",+187,"3,570",23,"1,015",26,"6,319,795","247,351",,02.09.20,23:01
69,El Salvador,"6,491,834","25,904",+84,731,+7,"14,879",+309,"10,294",261,"3,990",113,"320,267","49,334",1.0,02.09.20,23:01
70,Czechia,"10,712,426","25,579",+462,425,,"18,307",+191,"6,847",40,"2,388",40,"923,220","86,182",4.0,02.09.20,23:01
71,Palestine,"5,120,787","23,875",+594,162,+3,"15,483",+145,"8,230",,"4,662",32,"263,288","51,416",3.0,02.09.20,23:01
73,Bosnia and Herzegovina,"3,277,208","20,517",+283,627,+7,"13,626",+191,"6,264",,"6,261",191,"190,771","58,211",4.0,02.09.20,23:01
74,S. Korea,"51,276,856","20,449",+267,326,+2,"15,356",+158,"4,767",124,399,6,"1,980,295","38,620",3.0,02.09.20,23:01
72,Cameroon,"26,653,272","19,409",,414,,"17,651",,"1,344",30,728,16,"149,000","5,590",5.0,02.09.20,23:01
83,Lebanon,"6,820,059","18,375",+598,177,+6,"5,195",+207,"13,003",97,"2,694",26,"545,350","79,963",3.0,02.09.20,23:01
80,Paraguay,"7,147,313","18,338",,348,,"9,721",,"8,269",85,"2,566",49,"195,554","27,360",2.0,02.09.20,23:01
75,Ivory Coast,"26,484,492","18,103",,117,,"16,814",,"1,172",,684,4,"128,187","4,840",5.0,02.09.20,23:01
76,Denmark,"5,795,724","17,195",+111,626,+1,"15,413",+113,"1,156",4,"2,967",108,"2,526,753","435,968",4.0,02.09.20,23:01
77,Bulgaria,"6,939,160","16,454",,642,,"11,615",,"4,197",62,"2,371",93,"415,797","59,920",4.0,02.09.20,23:01
85,Libya,"6,886,992","15,156",+532,250,+8,"1,746",+70,"13,160",,"2,201",36,"114,145","16,574",5.0,02.09.20,23:01
78,Madagascar,"27,806,443","15,023",+66,196,+1,"13,965",+50,862,42,540,7,"58,946","2,120",5.0,02.09.20,23:01
79,North Macedonia,"2,083,359","14,600",+145,606,+2,"11,741",+216,"2,253",1,"7,008",291,"151,706","72,818",4.0,02.09.20,23:01
81,Senegal,"16,815,329","13,743",+88,287,+3,"9,506",+22,"3,950",33,817,17,"148,349","8,822",5.0,02.09.20,23:01
82,Sudan,"44,016,458","13,189",,823,,"6,612",,"5,754",,300,19,401,9,5.0,02.09.20,23:01
84,Zambia,"18,466,845","12,415",+34,292,+2,"11,494",+15,629,,672,16,"118,490","6,416",5.0,02.09.20,23:01
86,Norway,"5,428,478","10,951",+80,264,,"9,348",,"1,339",1,"2,017",49,"745,279","137,291",4.0,02.09.20,23:01
92,Greece,"10,414,074","10,757",+233,273,+2,"3,804",,"6,680",38,"1,033",26,"980,500","94,151",4.0,02.09.20,23:01
97,Croatia,"4,100,788","10,725",+311,191,+4,"7,968",+233,"2,566",15,"2,615",47,"175,346","42,759",4.0,02.09.20,23:01
87,DRC,"89,996,481","10,114",+10,259,,"9,347",+25,508,,112,3,,,5.0,02.09.20,23:01
94,Albania,"2,877,248","9,728",+122,296,+6,"5,582",+141,"3,850",22,"3,381",103,"60,106","20,890",4.0,02.09.20,23:01
89,Guinea,"13,190,302","9,479",,59,,"8,527",,893,24,719,4,"24,530","1,860",5.0,02.09.20,23:01
88,Malaysia,"32,435,830","9,360",+6,128,,"9,079",+4,153,4,289,4,"1,270,229","39,161",3.0,02.09.20,23:01
90,French Guiana,"299,936","9,209",+55,61,+1,"8,739",+32,409,8,"30,703",203,"54,370","181,272",2.0,02.09.20,23:01
93,Tajikistan,"9,572,723","8,654",+35,69,+1,"7,447",+34,"1,138",,904,7,,,3.0,02.09.20,23:01
91,Gabon,"2,234,304","8,533",,53,,"7,264",,"1,216",2,"3,819",24,"118,395","52,990",5.0,02.09.20,23:01
95,Haiti,"11,425,976","8,258",+28,206,+3,"5,870",+42,"2,182",,723,18,"23,679","2,072",1.0,02.09.20,23:01
96,Finland,"5,542,214","8,161",+19,336,,"7,350",+150,475,1,"1,473",61,"688,858","124,293",4.0,02.09.20,23:01
100,Maldives,"542,125","8,140",+137,29,,"5,338",+73,"2,773",12,"15,015",53,"115,727","213,469",3.0,02.09.20,23:01
102,Namibia,"2,548,537","7,844",+152,82,+1,"3,454",+75,"4,308",30,"3,078",32,"64,269","25,218",5.0,02.09.20,23:01
99,Mauritania,"4,669,439","7,075",,159,,"6,464",,452,3,"1,515",34,"69,937","14,978",5.0,02.09.20,23:01
98,Luxembourg,"627,676","6,702",,124,,,,,2,"10,677",198,"646,620","1,030,181",4.0,02.09.20,23:01
105,Hungary,"9,656,049","6,622",+365,619,+3,"3,903",+82,"2,100",7,686,64,"437,531","45,312",4.0,02.09.20,23:01
101,Zimbabwe,"14,899,180","6,559",,203,,"5,241",,"1,115",,440,14,"151,597","10,175",5.0,02.09.20,23:01
103,Malawi,"19,210,070","5,576",,175,,"3,420",,"1,981",4,290,9,"45,622","2,375",5.0,02.09.20,23:01
104,Djibouti,"990,408","5,387",,60,,"5,327",,0,,"5,439",61,"67,780","68,436",5.0,02.09.20,23:01
106,Equatorial Guinea,"1,410,293","4,965",,83,,"3,884",,998,1,"3,521",59,"51,944","36,832",5.0,02.09.20,23:01
