,scrap_date,scrap_time,Country_id,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases_1M_pop,Deaths/1M pop,TotalTests,Tests_1M_pop,Continent_id
183,2020-10-10,23:00,187.0,Bhutan,773928.0,306,2.0,,,282.0,27.0,24.0,,395.0,,149297.0,192908.0,3.0
184,2020-10-10,23:00,181.0,Cambodia,16781845.0,283,1.0,,,277.0,,6.0,,17.0,,151514.0,9028.0,3.0
185,2020-10-10,23:00,188.0,Monaco,39318.0,233,,2.0,,209.0,,22.0,1.0,5926.0,51.0,51953.0,1321354.0,4.0
186,2020-10-10,23:00,183.0,Cayman Islands,65932.0,220,,1.0,,211.0,,8.0,,3337.0,15.0,40820.0,619123.0,1.0
187,2020-10-10,23:00,186.0,Barbados,287473.0,204,,7.0,,182.0,,15.0,,710.0,24.0,26443.0,91984.0,1.0
188,2020-10-10,23:00,185.0,Bermuda,62214.0,184,,9.0,,170.0,,5.0,,2958.0,145.0,69671.0,1119860.0,1.0
189,2020-10-10,23:00,208.0,Caribbean Netherlands,26290.0,148,,2.0,,78.0,,68.0,,5630.0,76.0,2857.0,108672.0,1.0
190,2020-10-10,23:00,190.0,Seychelles,98515.0,148,,,,144.0,,4.0,,1502.0,,5200.0,52784.0,5.0
191,2020-10-10,23:00,189.0,Brunei,438625.0,146,,3.0,,143.0,,0.0,,333.0,7.0,61809.0,140915.0,3.0
192,2020-10-10,23:00,191.0,Liechtenstein,38158.0,142,3.0,1.0,,117.0,,24.0,,3721.0,26.0,900.0,23586.0,4.0
193,2020-10-10,23:00,192.0,Antigua and Barbuda,98151.0,111,,3.0,,97.0,,11.0,,1131.0,31.0,3035.0,30922.0,1.0
194,2020-10-10,23:00,202.0,British Virgin Islands,30286.0,71,,1.0,,70.0,,0.0,,2344.0,33.0,5193.0,171465.0,1.0
195,2020-10-10,23:00,205.0,St. Barth,9885.0,65,,,,37.0,,28.0,,6576.0,,2668.0,269904.0,1.0
196,2020-10-10,23:00,193.0,St. Vincent Grenadines,111037.0,64,,,,64.0,,0.0,,576.0,,5451.0,49092.0,1.0
197,2020-10-10,23:00,194.0,Macao,651741.0,46,,,,46.0,,0.0,,71.0,,4238.0,6503.0,3.0
198,2020-10-10,23:00,196.0,Fiji,898229.0,32,,2.0,,28.0,,2.0,1.0,36.0,2.0,11318.0,12600.0,6.0
199,2020-10-10,23:00,203.0,Dominica,72035.0,32,,,,24.0,,8.0,,444.0,,2612.0,36260.0,1.0
200,2020-10-10,23:00,197.0,Saint Lucia,183858.0,28,,,,27.0,,1.0,,152.0,,8591.0,46726.0,1.0
201,2020-10-10,23:00,198.0,Timor-Leste,1325210.0,28,,,,28.0,,0.0,,21.0,,8073.0,6092.0,3.0
202,2020-10-10,23:00,200.0,New Caledonia,286249.0,27,,,,27.0,,0.0,,94.0,,14585.0,50952.0,6.0
203,2020-10-10,23:00,199.0,Grenada,112667.0,24,,,,24.0,,0.0,,213.0,,6252.0,55491.0,1.0
204,2020-10-10,23:00,201.0,Laos,7304219.0,23,,,,22.0,,1.0,,3.0,,56923.0,7793.0,3.0
205,2020-10-10,23:00,204.0,Saint Kitts and Nevis,53302.0,19,,,,18.0,,1.0,,356.0,,2589.0,48572.0,1.0
206,2020-10-10,23:00,206.0,Greenland,56797.0,16,,,,14.0,,2.0,,282.0,,8879.0,156329.0,1.0
207,2020-10-10,23:00,213.0,Saint Pierre Miquelon,5786.0,16,,,,12.0,,4.0,,2765.0,,2144.0,370550.0,1.0
208,2020-10-10,23:00,207.0,Montserrat,4993.0,13,,1.0,,12.0,,0.0,,2604.0,200.0,483.0,96735.0,1.0
209,2020-10-10,23:00,209.0,Falkland Islands,3507.0,13,,,,13.0,,0.0,,3707.0,,2682.0,764756.0,2.0
210,2020-10-10,23:00,210.0,Vatican City,802.0,12,,,,12.0,,0.0,,14963.0,,,,4.0
211,2020-10-10,23:00,211.0,Western Sahara,601258.0,10,,1.0,,8.0,,1.0,,17.0,2.0,,,5.0
212,2020-10-10,23:00,212.0,MS Zaandam,,9,,2.0,,,,7.0,,,,,,
213,2020-10-10,23:00,214.0,Anguilla,15040.0,3,,,,3.0,,0.0,,199.0,,1329.0,88364.0,1.0
214,2020-10-10,23:00,,Solomon Islands,691379.0,1,,,,,,1.0,,1.0,,,,6.0
215,2020-10-10,23:00,215.0,China,1439323776.0,85536,15.0,4634.0,,80696.0,15.0,206.0,2.0,59.0,3.0,160000000.0,111163.0,3.0
